SERIAL_NUMBER,VIOLATION_STATUS,VIOLATION_CODE,VIOLATION_DESCRIPTION,ObjectId
DAQ5VFZ7F,OUT OF COMPLIANCE,H048,DRAINAGE ISSUES,2389
DAU0Q6EAH,OUT OF COMPLIANCE,H036,WINDOWS/SCREENS - UNIT,2390
DAU0Q6EAH,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,2391
DAU0Q6EAH,OUT OF COMPLIANCE,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT",2392
DAU0Q6EAH,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2393
DAU5DVARL,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,2394
DAWGY5Z3J,OUT OF COMPLIANCE,H066,SEWER/DRAIN LINES - PREMISES,2395
DAXOYBR00,OUT OF COMPLIANCE,H006,NO HOT-WATER - UNIT,2396
DAXOYBR00,OUT OF COMPLIANCE,H018,UNAPPROVED TYPE - UNIT,2397
DAXOYBR00,OUT OF COMPLIANCE,H015,TUB/SHOWER STALL - UNIT,2398
DAYHZNNLT,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,2399
DA1VCTP7C,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2400
DAI9PAVCB,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2401
DAI9PAVCB,OUT OF COMPLIANCE,H005,RATS/MICE - UNIT,2402
DAI9PAVCB,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT,2403
DAI9PAVCB,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,2404
DAILHURBY,OUT OF COMPLIANCE,H044,FAUCET FIXTURES - UNIT,2405
DAKU3T9IG,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2406
DAKU3T9IG,OUT OF COMPLIANCE,H005,RATS/MICE - UNIT,2407
DAKU3T9IG,OUT OF COMPLIANCE,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT",2408
DALS0A47S,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,2409
DALS0A47S,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2410
DAMTJ0XWO,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2411
DANU8NUHC,OUT OF COMPLIANCE,H015,TUB/SHOWER STALL - UNIT,2412
DAU4NIFK3,OUT OF COMPLIANCE,H019,MISSING COMFORT HEAT - UNIT,2413
DAUI0TYH1,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2414
DAUXWSVOU,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2415
DAUYGWMFF,OUT OF COMPLIANCE,H020,APPLIANCES - UNIT,2416
DAUYGWMFF,OUT OF COMPLIANCE,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT",2417
DAWXXXTEA,OUT OF COMPLIANCE,H005,RATS/MICE - UNIT,2418
DAWXXXTEA,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2419
DAX1QZ0DW,OUT OF COMPLIANCE,H006,NO HOT-WATER - UNIT,2420
DAX1QZ0DW,OUT OF COMPLIANCE,H044,FAUCET FIXTURES - UNIT,2421
DAX1QZ0DW,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,2422
DAXA0JQNK,OUT OF COMPLIANCE,H015,TUB/SHOWER STALL - UNIT,2423
DAXA0JQNK,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,2424
DAYTR8HIU,OUT OF COMPLIANCE,H027,INADEQUATE LIGHTING - UNIT,2425
DA1ORLZJJ,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,2426
DA1ORLZJJ,OUT OF COMPLIANCE,H005,RATS/MICE - UNIT,2427
DA1ORLZJJ,OUT OF COMPLIANCE,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT",2428
DAD1L5CRD,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,2429
DAD1L5CRD,OUT OF COMPLIANCE,H020,APPLIANCES - UNIT,2430
DADEHSKD9,OUT OF COMPLIANCE,H012,OUTLET/FIXTURES - UNIT,2431
DADEHSKD9,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2432
DADPHB31L,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2433
DADPHB31L,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT,2434
DADPHB31L,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,2435
DADQXY9KH,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2436
DADTQUTZM,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,2437
DADZDJSFN,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2438
DAGTSY9FY,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2439
DAJJJTUYX,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2440
DAJMVDIKI,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,2441
DAJMVDIKI,OUT OF COMPLIANCE,H016,FIXTURES - UNIT,2442
DAJSNFZMA,OUT OF COMPLIANCE,H019,MISSING COMFORT HEAT - UNIT,2443
DAJSNFZMA,OUT OF COMPLIANCE,H086,REFUSE AREA/BINS - PREMISES,2444
DAKWVK1HX,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT,2445
DAKZ5EH8U,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2446
DAKZ5EH8U,OUT OF COMPLIANCE,H066,SEWER/DRAIN LINES - PREMISES,2447
DALYA36ZP,OUT OF COMPLIANCE,H015,TUB/SHOWER STALL - UNIT,2448
DALYA36ZP,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,2449
DAMODFDG5,OUT OF COMPLIANCE,H005,RATS/MICE - UNIT,2450
DAGVW1EJC,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT,2451
DAH0QSB1Y,OUT OF COMPLIANCE,H066,SEWER/DRAIN LINES - PREMISES,2452
DAH0QSB1Y,OUT OF COMPLIANCE,H086,REFUSE AREA/BINS - PREMISES,2453
DAJOOK4MO,OUT OF COMPLIANCE,H086,REFUSE AREA/BINS - PREMISES,2454
DAJVHMCZZ,OUT OF COMPLIANCE,H066,SEWER/DRAIN LINES - PREMISES,2455
DAKEAKYQV,OUT OF COMPLIANCE,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES,2456
DALYTW9F0,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,2457
DALYTW9F0,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,2458
DALYTW9F0,OUT OF COMPLIANCE,H044,FAUCET FIXTURES - UNIT,2459
DALYTW9F0,OUT OF COMPLIANCE,H014,TANK/BASE/BOWL/OTHER - UNIT,2460
DARTH227E,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,2461
DASQ0DN7Q,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT,2462
DAYRIGEZH,OUT OF COMPLIANCE,H036,WINDOWS/SCREENS - UNIT,2463
DAYRIGEZH,OUT OF COMPLIANCE,H015,TUB/SHOWER STALL - UNIT,2464
DAYRIGEZH,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,2465
DAYRIGEZH,OUT OF COMPLIANCE,H017,INOPERABLE - UNIT,2466
DAZBVKFMP,OUT OF COMPLIANCE,H005,RATS/MICE - UNIT,2467
DAZBVKFMP,OUT OF COMPLIANCE,H045,SINK BASIN - UNIT,2468
DA0GGBA7Z,OUT OF COMPLIANCE,H017,INOPERABLE - UNIT,2469
DA2NZ52BY,OUT OF COMPLIANCE,P021,POOL WATER QUALITY - CLOUDY / TURBID / GREEN,2470
DACMOFRNW,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2471
DACMOFRNW,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,2472
DACMOFRNW,OUT OF COMPLIANCE,H014,TANK/BASE/BOWL/OTHER - UNIT,2473
DADWI1USP,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2474
DAEKNKJIG,OUT OF COMPLIANCE,H020,APPLIANCES - UNIT,2475
DAEKNKJIG,OUT OF COMPLIANCE,H010,SEWER/DRAIN LINES - UNIT,2476
DAEKNKJIG,OUT OF COMPLIANCE,H044,FAUCET FIXTURES - UNIT,2477
DAFAKB7TK,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,2478
DAFAKB7TK,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2479
DAGFRIJ9W,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2480
DAHA6MRZF,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2481
DAIVCCBRK,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2482
DAIVCCBRK,OUT OF COMPLIANCE,H095,STAIRS - PREMISES,2483
DAIVCCBRK,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT,2484
DAIVCCBRK,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,2485
DAKKE8GJX,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT,2486
DARKP9ZZA,OUT OF COMPLIANCE,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES,2487
DARPCEZ5Y,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,2488
DARPCEZ5Y,OUT OF COMPLIANCE,H011,COVER PLATES - UNIT,2489
DAW5DUUC8,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2490
DA29P4FTT,OUT OF COMPLIANCE,H066,SEWER/DRAIN LINES - PREMISES,2491
DA4QJZ1NI,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2492
DA4QJZ1NI,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,2493
DA9L6VILJ,OUT OF COMPLIANCE,H005,RATS/MICE - UNIT,2494
DAB3IW7OS,OUT OF COMPLIANCE,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES,2495
DABTYQHD0,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2496
DABTYQHD0,OUT OF COMPLIANCE,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT",2497
DABTYQHD0,OUT OF COMPLIANCE,H036,WINDOWS/SCREENS - UNIT,2498
DADGGDIR0,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2499
DADGGDIR0,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,2500
DARJHCZY0,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT,2501
DATA7CUGE,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2502
DAUCEKCML,OUT OF COMPLIANCE,H002,FLIES - UNIT,2503
DAVCYQKXT,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,2504
DAVCYQKXT,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2505
DAVH2Q0UV,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,2506
DAVH2Q0UV,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2507
DAW8Y1JDF,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2508
DAZTNJF9K,OUT OF COMPLIANCE,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT",2509
DAZTNJF9K,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2510
DAZYUH0QB,OUT OF COMPLIANCE,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES,2511
DAZYUH0QB,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,2512
DAZYUH0QB,OUT OF COMPLIANCE,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES,2513
DA1578682,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2514
DA1578682,OUT OF COMPLIANCE,H012,OUTLET/FIXTURES - UNIT,2515
DA3ETN0LP,OUT OF COMPLIANCE,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES,2516
DA3ETN0LP,OUT OF COMPLIANCE,H086,REFUSE AREA/BINS - PREMISES,2517
DA6VBRFDM,OUT OF COMPLIANCE,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES,2518
DAF5WCCYQ,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,2519
DAF6BEKR2,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2520
DAFAII613,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,2521
DAFAII613,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2522
DAFAII613,OUT OF COMPLIANCE,H015,TUB/SHOWER STALL - UNIT,2523
DAFAII613,OUT OF COMPLIANCE,H020,APPLIANCES - UNIT,2524
DAFAII613,OUT OF COMPLIANCE,H045,SINK BASIN - UNIT,2525
DAGYFUNTQ,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,2526
DAGYFUNTQ,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT,2527
DAGYFUNTQ,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2528
DALRA0G7Z,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,2529
DALRA0G7Z,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2530
DALRA0G7Z,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,2531
DAOQBFHCL,OUT OF COMPLIANCE,H086,REFUSE AREA/BINS - PREMISES,2532
DARKXPLUX,OUT OF COMPLIANCE,H010,SEWER/DRAIN LINES - UNIT,2533
DARKXPLUX,OUT OF COMPLIANCE,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES,2534
DATZA7OTF,OUT OF COMPLIANCE,H005,RATS/MICE - UNIT,2535
DATZA7OTF,OUT OF COMPLIANCE,H096,VENT SCREENS - PREMISES,2536
DATZA7OTF,OUT OF COMPLIANCE,H036,WINDOWS/SCREENS - UNIT,2537
DATZA7OTF,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT,2538
DATZA7OTF,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,2539
DATZA7OTF,OUT OF COMPLIANCE,H086,REFUSE AREA/BINS - PREMISES,2540
DAXEJXNAC,OUT OF COMPLIANCE,H020,APPLIANCES - UNIT,2541
DAXEJXNAC,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2542
DAXFZ6IAT,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2543
DAXFZ6IAT,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT,2544
DA3KEPU0M,OUT OF COMPLIANCE,H058,FLIES - PREMISES,2545
DAXFZ6IAT,OUT OF COMPLIANCE,H014,TANK/BASE/BOWL/OTHER - UNIT,2546
DAXOZOPNA,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2547
DAZMPORD6,OUT OF COMPLIANCE,H017,INOPERABLE - UNIT,2548
DA0Q0VMRU,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2549
DA1LCPJEU,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2550
DA1YSBVE4,OUT OF COMPLIANCE,H017,INOPERABLE - UNIT,2551
DA3KEPU0M,OUT OF COMPLIANCE,H086,REFUSE AREA/BINS - PREMISES,2552
DACGJQ35O,OUT OF COMPLIANCE,H037,VENTILATION - UNIT,2553
DACT05FCT,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2554
DAFOOGBBK,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,2555
DA0VEF5QX,OUT OF COMPLIANCE,H006,NO HOT-WATER - UNIT,2556
DA0VMQYLE,OUT OF COMPLIANCE,H027,INADEQUATE LIGHTING - UNIT,2557
DA0VMQYLE,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,2558
DA0VMQYLE,OUT OF COMPLIANCE,H020,APPLIANCES - UNIT,2559
DA0ZJIHHP,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,2560
DA4VDIGIK,OUT OF COMPLIANCE,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES,2561
DA4VDIGIK,OUT OF COMPLIANCE,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT",2562
DA520UV22,OUT OF COMPLIANCE,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES,2563
DA6PQSY31,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2564
DA6PQSY31,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT,2565
DA6PQSY31,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,2566
DA6PQSY31,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,2567
DA6PQSY31,OUT OF COMPLIANCE,H036,WINDOWS/SCREENS - UNIT,2568
DA6PQSY31,OUT OF COMPLIANCE,H010,SEWER/DRAIN LINES - UNIT,2569
DA8BEBDFG,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,2570
DAAQETGSY,OUT OF COMPLIANCE,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES,2571
DACXSCUQ9,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2572
DAEBNIHAZ,OUT OF COMPLIANCE,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES,2573
DAF01OAS8,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2574
DAF01OAS8,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT,2575
DAFG0NK6R,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2576
DAFG0NK6R,OUT OF COMPLIANCE,H022,FURNITURE - UNIT,2577
DAFG0NK6R,OUT OF COMPLIANCE,H020,APPLIANCES - UNIT,2578
DAHTJJCEB,OUT OF COMPLIANCE,H017,INOPERABLE - UNIT,2579
DALBARD9I,OUT OF COMPLIANCE,H017,INOPERABLE - UNIT,2580
DARHAJAY0,OUT OF COMPLIANCE,H017,INOPERABLE - UNIT,2581
DATAGDHYH,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2582
DATAGDHYH,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT,2583
DAUPVSD8L,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,2584
DAWXLIRB4,OUT OF COMPLIANCE,H010,SEWER/DRAIN LINES - UNIT,2585
DAWXLIRB4,OUT OF COMPLIANCE,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES,2586
DAWXLIRB4,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2587
DAYWJP6QD,OUT OF COMPLIANCE,H017,INOPERABLE - UNIT,2588
DAZJ7QSJV,OUT OF COMPLIANCE,H005,RATS/MICE - UNIT,2589
DAZJ7QSJV,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2590
DAZJ7QSJV,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,2591
DAZJ7QSJV,OUT OF COMPLIANCE,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES,2592
DA0WGV1SN,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,2593
DA0WGV1SN,OUT OF COMPLIANCE,H003,MITES/FLEAS - UNIT,2594
DA8ZQ9QGU,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2595
DA8ZQ9QGU,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT,2596
DA8ZQ9QGU,OUT OF COMPLIANCE,H010,SEWER/DRAIN LINES - UNIT,2597
DA8ZQ9QGU,OUT OF COMPLIANCE,H014,TANK/BASE/BOWL/OTHER - UNIT,2598
DA8ZQ9QGU,OUT OF COMPLIANCE,H017,INOPERABLE - UNIT,2599
DA9FJ5MSI,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2600
DADGGDIR0,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT,2601
DA5BMWTBM,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,2602
DA9FJ5MSI,OUT OF COMPLIANCE,H015,TUB/SHOWER STALL - UNIT,2603
DA7KIX3DN,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2604
DA7KIX3DN,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT,2605
DA7KIX3DN,OUT OF COMPLIANCE,H020,APPLIANCES - UNIT,2606
DA9NEULM0,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2607
DA9NEULM0,OUT OF COMPLIANCE,H015,TUB/SHOWER STALL - UNIT,2608
DAA2GO0HO,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2609
DAA2GO0HO,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,2610
DABLZXXM0,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,2611
DAC59ZBNC,OUT OF COMPLIANCE,H016,FIXTURES - UNIT,2612
DACUN0IO0,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,2613
DACUN0IO0,OUT OF COMPLIANCE,H005,RATS/MICE - UNIT,2614
DADCBJDXF,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2615
DADCBJDXF,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,2616
DAE1ZWWI6,OUT OF COMPLIANCE,P023,VACUUM / BRUSH POOL / DIRT / LEAVES / DEBRIS,2617
DAFW3RQA9,OUT OF COMPLIANCE,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES,2618
DAFW3RQA9,OUT OF COMPLIANCE,H086,REFUSE AREA/BINS - PREMISES,2619
DAGJFUMFI,OUT OF COMPLIANCE,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES,2620
DAGJFUMFI,OUT OF COMPLIANCE,H031,CAST-OFFS/DEBRIS/WASTE - UNIT,2621
DALNG4K90,OUT OF COMPLIANCE,H021,BEDDING - UNIT,2622
DAME6L1ZY,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,2623
DAME6L1ZY,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT,2624
DANUIXBAD,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,2625
DAOYQ3PNW,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2626
DAOYQ3PNW,OUT OF COMPLIANCE,H015,TUB/SHOWER STALL - UNIT,2627
DAOYQ3PNW,OUT OF COMPLIANCE,H012,OUTLET/FIXTURES - UNIT,2628
DAOYQ3PNW,OUT OF COMPLIANCE,H005,RATS/MICE - UNIT,2629
DAOYQ3PNW,OUT OF COMPLIANCE,H020,APPLIANCES - UNIT,2630
DAOYQ3PNW,OUT OF COMPLIANCE,H009,INADEQUATE FLOW - UNIT,2631
DAOYQ3PNW,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT,2632
DAOYQ3PNW,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,2633
DAOYQ3PNW,OUT OF COMPLIANCE,H045,SINK BASIN - UNIT,2634
DAOYQ3PNW,OUT OF COMPLIANCE,H014,TANK/BASE/BOWL/OTHER - UNIT,2635
DAOYQ3PNW,OUT OF COMPLIANCE,H044,FAUCET FIXTURES - UNIT,2636
DAUUQIQSJ,OUT OF COMPLIANCE,H007,WATER LINE - UNIT,2637
DAUUQIQSJ,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT,2638
DAUUQIQSJ,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2639
DAUUQIQSJ,OUT OF COMPLIANCE,H044,FAUCET FIXTURES - UNIT,2640
DAZHVFQ84,OUT OF COMPLIANCE,H020,APPLIANCES - UNIT,2641
DAZHVFQ84,OUT OF COMPLIANCE,H070,TANK/BASE/BOWL/OTHER - PREMISES,2642
DAZKMH7AM,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,2643
DAZMZTFN3,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2644
DA0YR2ENH,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,2645
DA0YR2ENH,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,2646
DA0YR2ENH,OUT OF COMPLIANCE,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT",2647
DA3QFDYH0,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,2648
DABC7XFXP,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2649
DABC7XFXP,OUT OF COMPLIANCE,H007,WATER LINE - UNIT,2650
DABC7XFXP,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,2651
DAFLNGUAK,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2652
DAGJWCDAJ,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,2653
DA9FJ5MSI,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,2654
DA5NQZUKN,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2655
DADGGDIR0,OUT OF COMPLIANCE,H004,BEDBUGS - UNIT,2656
DAHHCWK3S,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2657
DAIOIESRD,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,2658
DAIOIESRD,OUT OF COMPLIANCE,H071,TUB/SHOWER STALL - PREMISES,2659
DAIOIESRD,OUT OF COMPLIANCE,H037,VENTILATION - UNIT,2660
